ID,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,MS9,MS10,MS11,Attendance,Score
Student 1,2,3,2,0,3,3,4,1,1,1,1,6,21
Student 2,3,3,3,0,3,3,2,1,1,1,1,5,21
Student 3,2,3,3,0,3,1,4,1,1,1,1,6,20
Student 4,3,3,0,3,3,1,4,1,1,1,0,6,20
Student 5,3,3,0,3,3,3,3,1,1,0,0,5,20
Student 6,2,2,0,3,3,1,4,1,1,1,1,6,19
Student 7,2,3,2,0,3,1,4,1,1,1,0,6,18
Student 8,3,3,3,3,0,0,4,1,0,0,1,5,18
Student 9,2,3,0,3,3,3,4,0,0,0,0,5,18
Student 10,3,3,0,1,3,1,4,1,1,0,1,6,18
Student 11,2,1,0,0,3,1,4,1,0,0,1,6,13
Student 12,2,0,0,0,1,1,4,1,1,1,1,6,12
Student 13,3,3,2,0,3,1,0,0,0,0,0,3,12
Student 14,2,2,2,0,3,3,0,0,0,0,0,3,12
Student 15,3,2,3,0,0,0,4,0,0,0,0,3,12
Student 16,2,2,3,3,0,0,1,0,0,0,0,4,11
Student 17,3,3,3,0,2,0,0,0,0,0,0,4,11
Student 18,2,2,0,0,3,3,0,0,0,0,0,5,10
Student 19,2,0,0,2,3,3,0,0,0,0,0,5,10
Student 20,2,2,0,0,3,2,0,0,0,0,0,3,9
Student 21,3,2,0,0,3,1,0,0,0,0,0,4,9
Student 22,3,0,0,0,3,3,0,0,0,0,0,3,9
Student 23,3,2,0,0,3,0,0,0,0,0,0,4,8
Student 24,2,2,0,0,0,0,4,0,0,0,0,6,8
Student 25,2,3,2,0,0,0,0,0,0,0,0,4,7
Student 26,0,0,0,0,2,2,2,0,0,0,1,5,7
Student 27,0,0,0,0,0,0,3,1,1,1,1,2,7
Student 28,3,0,0,0,3,1,0,0,0,0,0,4,7
Student 29,0,0,0,0,3,3,0,0,0,0,0,4,6
Student 30,2,0,0,0,2,2,0,0,0,0,0,4,6
Student 31,2,2,2,0,0,0,0,0,0,0,0,2,6
Student 32,2,3,0,0,0,1,0,0,0,0,0,1,6
Student 33,3,2,0,0,0,0,0,0,0,0,0,3,5
Student 34,2,0,0,0,0,0,3,0,0,0,0,5,5
Student 35,2,0,0,3,0,0,0,0,0,0,0,4,5
Student 36,2,0,0,0,1,1,0,0,0,0,0,5,4
Student 37,0,0,0,0,1,0,1,1,0,0,1,4,4
Student 38,3,0,0,0,0,0,0,0,0,0,0,2,3
